CpuTime,PID,StartingBurstTime,EndingBurstTime,CompletionTime
0,8,439,389,0
53,2,488,438,0
106,3,231,181,0
159,3,181,131,0
212,2,438,388,0
265,4,337,287,0
318,9,942,892,0
371,2,388,338,0
424,2,338,288,0
477,4,287,237,0
530,2,288,238,0
583,4,237,187,0
636,8,389,339,0
689,3,131,81,0
742,7,317,267,0
795,7,267,217,0
848,2,238,188,0
901,4,187,137,0
954,6,130,80,0
1007,6,80,30,0
1060,9,892,842,0
1113,3,81,31,0
1166,6,30,0,1196
1199,2,188,138,0
1252,4,137,87,0
1305,7,217,167,0
1358,8,339,289,0
1411,1,624,574,0
1464,3,31,0,1495
1498,7,167,117,0
1551,7,117,67,0
1604,2,138,88,0
1657,2,88,38,0
1710,8,289,239,0
1763,4,87,37,0
1816,7,67,17,0
1869,8,239,189,0
1922,4,37,0,1959
1962,7,17,0,1979
1982,8,189,139,0
2035,8,139,89,0
2088,2,38,0,2126
2129,8,89,39,0
2182,1,574,524,0
2235,8,39,0,2274
2277,9,842,792,0
2330,9,792,742,0
2383,5,222,172,0
2436,9,742,692,0
2489,9,692,642,0
2542,1,524,474,0
2595,9,642,592,0
2648,1,474,424,0
2701,9,592,542,0
2754,9,542,492,0
2807,9,492,442,0
2860,9,442,392,0
2913,9,392,342,0
2966,9,342,292,0
3019,1,424,374,0
3072,9,292,242,0
3125,9,242,192,0
3178,9,192,142,0
3231,9,142,92,0
3284,9,92,42,0
3337,9,42,0,3379
3382,5,172,122,0
3435,1,374,324,0
3488,1,324,274,0
3541,5,122,72,0
3594,1,274,224,0
3647,1,224,174,0
3700,5,72,22,0
3753,1,174,124,0
3806,1,124,74,0
3859,5,22,0,3881
3884,1,74,24,0
3934,1,24,0,3958
